"Reference","Value","Datasheet","Qty","Description","Manufacturer_Part_Number","Price"
"R8,R14,R16,R18,R22","100","https://uk.farnell.com/yageo/at0603dre07100rl/res-100r-0-5-0-1w-thin-film-0603/dp/4047067","5","SMD Chip Resistor, 100 ohm, ± 0.5%, 100 mW, 0603 [1608 Metric], Metal Film (Thin Film)","AT0603DRE07100RL","0.068"
"R9,R10,R11,R12,R13,R19","20","https://uk.farnell.com/panasonic/erjpa3f20r0v/res-20r-1-0-25w-0603-thick-film/dp/2335873?srsltid=AfmBOoqUeUzg1pk6hwoWxXeW9FrmcibLL0xygyGA52BZvslTL7es8ncf","6","SMD Chip Resistor, 20 ohm, ± 1%, 250 mW, 0603 [1608 Metric], Thick Film, High Power, Anti-Surge","ERJPA3F20R0V","0.0512"
"R15","1 mOhm","https://uk.farnell.com/wurth-elektronik/580060716002/res-r001-1-0-33w-metal-plate-0603/dp/4050755","1","SMD Current Sense Resistor, 0.001 ohm, WRIS-PSMB Series, 0603 [1608 Metric], 330 mW, ± 1%","580060716002","0.445"
"R17,R25","10k","https://www.digikey.co.uk/en/products/detail/yageo/RC0603FR-0710KL/726880?srsltid=AfmBOoqjqC5qo52Z-BfREj56jdcNCkiFl9EdC8LTCxkmf6IG3DRH4_a1","2","10 kOhms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Moisture Resistant Thick Film","RC0603FR-0710KL","0.096"
"R20","604","https://www.mouser.co.uk/ProductDetail/Vishay-Dale/CRCW0603604RFKEA?qs=fCq1eTfc1mxBxNS0KCHjAA%3D%3D&srsltid=AfmBOorTr7mC5uSpqwHkXs42J85H1ZZiMRU-qy4DPIN2mdWxsb-QNfK2","1","https://www.mouser.co.uk/ProductDetail/Vishay-Dale/CRCW0603604RFKEA?qs=fCq1eTfc1mxBxNS0KCHjAA%3D%3D&srsltid=AfmBOorTr7mC5uSpqwHkXs42J85H1ZZiMRU-qy4DPIN2mdWxsb-QNfK2"," CRCW0603604RFKEA","0.079"
"R21","40k2","https://uk.farnell.com/vishay/crcw060340k2fkeahp/res-40k2-1-0-33w-0603-thick-film/dp/4139697","1","SMD Chip Resistor, 40.2 kohm, ± 1%, 330 mW, 0603 [1608 Metric], Thick Film (Double Sided)","CRCW060340K2FKEAHP","0.0468"
"R23","13 milli_Ohm","https://www.digikey.co.uk/en/products/detail/vishay-dale/WFCP0603R0120FE66/15908415?srsltid=AfmBOoo4dqh1u8s657FqJD2KSe6ZR3VTnfHOEncra4koGnlCY2Svv6Nn","1","RES 0.012 OHM .5 W 1% 0603 SMD","WFCP0603R0120FE66","0.48"
"R24","110k","https://www.mouser.co.uk/ProductDetail/Vishay-Dale/CRCW0603110KFKEAC?qs=E3Y5ESvWgWOjYxJifPtB0A%3D%3D&srsltid=AfmBOooA9Q7VIBmuH0XsHsYIbxayP7dOFLiWNXRxF_rdO7YJ1W6IVH1-","1","Thick Film Resistors - SMD 1/10Watt 110Kohms 1% Commercial Use","CRCW0603110KFKEAC","0.08"
"TH1,TH2,TH3","10K","https://www.mouser.co.uk/ProductDetail/Vishay-BC-Components/NTCLE100E3103HB0?qs=5%252BH5Zw0P0yW5JOWp96diiA%3D%3D&utm_id=9520607717&utm_source=google&utm_medium=cpc&utm_marketing_tactic=emeacorp&gad_source=1&gclid=Cj0KCQjw1um-BhDtARIsABjU5x5YCU0sR6JFxllQE0SxqyTI_yDPWeZCHrmKHXMBX6lqqmDFIr6CF7QaAgg0EALw_wcB","3","NTC (Negative Temperature Coefficient) Thermistors 10Kohms 3% Radial 0.6 LEAD","NTCLE100E3103HB0","0.45"
"TP1,TP2","NTC1","","2","test point","exposed pad","0"
"TP3,TP4","NTC2","","2","test point","exposed pad","0"
"TP5,TP6","NTC3","","2","test point","exposed pad","0"
"TP7","VBUS_Test","","1","test point","exposed pad","0"
"U1","TPS54308DDCR","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/TPS54308DDCR?qs=gt1LBUVyoHl9iRtozvTSQw%3D%3D&srsltid=AfmBOor4dTlKEWBPcURVRY9CiGSjj8TpqTcqn704-3eWI04XBC6X9RDt","1","3A, 4.5 to 28V Input, EMI Friendly integrated switch synchronous step-down regulator, continuous-conduction, SOT-23-6","TPS54308DDCR","1.10"
"U2","LM3488MM","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/LM3488MM?qs=X1J7HmVL2ZF99wiIrTysxw%3D%3D&srsltid=AfmBOoo61v0-mCY36lOdowXk-P__wvSziIRvzVYHzDquApiuv8i4Tbb0","1","Switching Controllers 2.97V to 40V Wide Vi n Low-Side N-Channe","LM3488MM","2.13"
"U3","CSD18563Q5A","https://www.digikey.co.uk/en/products/detail/texas-instruments/CSD18563Q5A/4307641?srsltid=AfmBOopmUN1q869yzLyTtwk7xS2X8y6d8wrvqMDCu4LfOhea6XSUpVAH","1","MOSFET N-CH 60V 100A 8VSON","CSD18563Q5A","1.22"
